time,cpu usage
0.0,0.0
0.601,0.0
1.202,3.1
1.803,3.1
2.403,0.0
3.004,0.0
3.605,0.0
4.205,0.0
4.807,0.0
5.408,3.1
6.009,3.1
6.61,0.0
7.211,0.0
7.812,0.0
8.412,0.0
9.013,3.1
9.613,0.0
10.214,0.0
10.814,0.0
11.415,6.2
12.016,3.1
12.616,0.0
13.217,0.0
13.818,0.0
14.419,0.0
15.019,0.0
15.62,0.0
16.221,3.1
16.822,0.0
17.422,0.0
18.023,3.1
18.624,6.2
19.224,0.0
19.825,0.0
20.426,0.0
21.027,0.0
21.628,0.0
22.229,0.0
22.83,0.0
23.431,0.0
24.031,3.1
24.632,0.0
25.233,0.0
25.834,6.2
26.434,0.0
27.035,0.0
27.636,0.0
28.237,0.0
28.837,3.1
29.438,0.0
30.039,0.0
30.64,0.0
31.241,3.1
31.841,0.0
32.442,0.0
33.042,0.0
33.643,0.0
34.244,0.0
34.845,0.0
35.445,0.0
36.046,0.0
36.647,0.0
37.247,0.0
37.847,0.0
38.448,3.1
39.049,0.0
39.65,0.0
40.25,3.1
40.851,0.0
41.452,0.0
42.053,6.2
42.654,0.0
43.254,0.0
43.855,0.0
44.455,3.1
45.057,3.1
45.657,0.0
46.258,0.0
46.859,0.0
47.46,0.0
48.061,0.0
48.662,3.1
49.262,0.0
49.863,6.2
50.464,0.0
51.065,3.1
51.665,0.0
52.266,0.0
52.867,0.0
53.468,0.0
54.068,0.0
54.67,0.0
55.271,0.0
55.872,3.1
56.473,0.0
57.074,0.0
57.675,0.0
58.276,0.0
58.877,0.0
59.478,0.0
60.078,0.0
60.679,3.1
61.28,0.0
61.881,3.1
62.481,0.0
63.082,0.0
63.683,0.0
64.284,0.0
64.885,0.0
65.486,0.0
66.086,0.0
66.687,0.0
67.287,0.0
67.888,0.0
68.489,6.2
69.089,0.0
69.69,3.1
70.291,0.0
70.892,3.1
71.494,0.0
72.095,3.1
72.696,0.0
73.297,3.1
73.898,0.0
74.498,0.0
75.102,0.0
75.703,0.0
76.304,0.0
76.905,0.0
77.506,0.0
78.106,0.0
78.707,0.0
79.308,0.0
79.909,3.1
80.509,3.1
81.11,0.0
81.712,0.0
82.312,0.0
82.913,3.1
83.514,0.0
84.115,0.0
84.716,0.0
85.316,0.0
85.917,0.0
86.517,0.0
87.118,0.0
87.72,0.0
88.32,0.0
88.921,0.0
89.522,3.1
90.122,0.0
90.723,0.0
91.325,0.0
91.925,0.0
92.527,3.1
93.129,3.1
93.729,3.1
94.33,0.0
94.931,3.1
95.532,0.0
96.133,0.0
96.734,3.1
97.335,0.0
97.936,0.0
98.537,3.1
99.137,0.0
99.738,3.1
100.339,0.0
100.94,3.1
101.541,0.0
102.141,0.0
102.742,6.2
103.343,0.0
103.944,0.0
104.545,3.1
105.147,0.0
105.748,0.0
106.35,0.0
106.951,0.0
107.551,3.1
108.153,0.0
108.754,0.0
109.355,0.0
109.957,3.1
110.558,3.1
111.158,0.0
111.759,0.0
112.361,0.0
112.963,3.1
113.563,0.0
114.164,9.1
114.765,3.1
115.366,0.0
115.966,0.0
116.567,3.1
117.168,3.1
117.769,0.0
118.37,3.1
118.97,0.0
119.571,3.1
120.171,0.0
120.772,3.1
121.372,0.0
121.973,0.0
122.574,0.0
123.174,3.1
123.775,0.0
124.376,0.0
124.977,0.0
125.577,0.0
126.178,0.0
126.779,3.1
127.379,3.1
127.981,0.0
128.581,0.0
129.182,0.0
129.783,0.0
130.384,0.0
130.985,0.0
131.585,0.0
132.186,0.0
132.787,0.0
133.388,0.0
133.989,0.0
134.59,0.0
135.19,0.0
135.791,3.1
136.392,3.1
136.992,0.0
137.594,0.0
138.196,0.0
138.797,3.1
139.399,0.0
139.999,0.0
140.6,0.0
141.201,0.0
141.802,0.0
142.403,0.0
143.004,3.1
143.605,0.0
144.205,0.0
144.806,3.1
145.407,0.0
146.007,0.0
146.608,0.0
147.209,0.0
147.81,0.0
148.411,0.0
149.011,3.1
149.612,0.0
150.213,3.1
150.813,0.0
151.414,0.0
152.015,0.0
152.616,0.0
153.217,3.1
153.818,0.0
154.418,0.0
155.02,3.1
155.62,0.0
156.221,0.0
156.822,0.0
157.423,0.0
158.024,0.0
158.624,0.0
159.225,0.0
159.826,0.0
160.427,0.0
161.027,3.1
161.628,0.0
162.229,3.1
162.83,0.0
163.431,0.0
164.032,0.0
164.633,0.0
165.234,0.0
165.835,0.0
166.436,3.1
167.036,0.0
167.637,0.0
168.238,0.0
168.839,0.0
169.439,3.1
170.04,0.0
170.641,0.0
171.243,0.0
171.844,3.1
172.444,0.0
173.045,0.0
173.647,0.0
174.247,0.0
174.848,0.0
175.45,6.2
176.051,0.0
176.653,0.0
177.254,0.0
177.854,0.0
178.455,3.1
179.056,0.0
179.657,0.0
180.258,0.0
180.859,0.0
181.459,0.0
182.06,3.1
182.661,0.0
183.261,0.0
183.862,0.0
184.463,0.0
185.063,0.0
